sample_index,timestamp,source_file,activity_hint,L1_g,L2_g,L3_g,L4_g,L5_g,L6_g,L7_g,L8_g,L9_g,L10_g,L11_g,L12_g,L13_g,L14_g,L15_g,L16_g,L17_g,L18_g
0,2026-05-14 23:08:06,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
1,2026-05-14 23:08:07,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
2,2026-05-14 23:08:07,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
3,2026-05-14 23:08:07,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
4,2026-05-14 23:08:07,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
5,2026-05-14 23:08:07,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
6,2026-05-14 23:08:07,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
7,2026-05-14 23:08:07,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
8,2026-05-14 23:08:07,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
9,2026-05-14 23:08:07,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
10,2026-05-14 23:08:07,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
11,2026-05-14 23:08:07,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
12,2026-05-14 23:08:07,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
13,2026-05-14 23:08:07,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
14,2026-05-14 23:08:07,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
15,2026-05-14 23:08:07,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
16,2026-05-14 23:08:07,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
17,2026-05-14 23:08:08,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
18,2026-05-14 23:08:08,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
