source_file,cycle_index,start_sample_index,end_sample_index,start_time_s,end_time_s,stance_duration_s,swing_duration_s,peak_total_g,loading_rate_g_s,cop_ap_excursion_norm,cop_ml_excursion_norm,peak_tau_proxy_pf_nm,tau_proxy_impulse_nm_s,activity_hint,activity_pred,quality_flags
2026-5-14_levelground 2_left.csv,0,2,559,0.1,27.95,27.9,0.0,11530.0,39900.0,0.043883,0.166558,0.0,0.0,level_walking,level walking,
2026-5-14_levelground 2_left.csv,1,566,636,28.3,31.8,3.55,0.35,23218.0,59300.0,0.072602,0.137984,0.0,0.0,level_walking,level walking,
2026-5-14_levelground 2_left.csv,2,641,656,32.05,32.8,0.8,0.25,27138.0,180760.0,0.300229,0.329668,9.274808,1.842684,level_walking,level walking,
2026-5-14_levelground 2_left.csv,3,667,679,33.35,33.95,0.65,0.55,20183.0,77300.0,0.189983,0.34413,2.961597,0.928688,level_walking,level walking,
2026-5-14_levelground 2_left.csv,4,694,705,34.7,35.25,0.6,0.75,28055.0,15660.0,0.50413,0.851912,16.043174,2.973518,level_walking,level walking,
2026-5-14_levelground 2_left.csv,5,718,729,35.9,36.45,0.6,0.65,30290.0,90760.0,0.485644,0.912684,20.354535,6.218076,level_walking,level walking,
2026-5-14_levelground 2_left.csv,6,739,750,36.95,37.5,0.6,0.5,29977.0,171560.0,0.436628,0.203338,19.336583,4.694552,level_walking,level walking,
2026-5-14_levelground 2_left.csv,7,761,774,38.05,38.7,0.7,0.55,29870.0,230120.0,0.5999,1.126111,18.882185,3.027198,level_walking,level walking,
2026-5-14_levelground 2_left.csv,8,785,796,39.25,39.8,0.6,0.55,23341.0,66140.0,0.351227,0.209081,9.286069,2.146568,level_walking,level walking,
2026-5-14_levelground 2_left.csv,9,808,824,40.4,41.2,0.85,0.6,28497.0,224200.0,0.550711,0.979712,18.715965,5.079086,level_walking,level walking,
2026-5-14_levelground 2_left.csv,10,835,847,41.75,42.35,0.65,0.55,30855.0,390280.0,0.555543,0.498219,25.816726,5.058388,level_walking,level walking,
2026-5-14_levelground 2_left.csv,11,858,870,42.9,43.5,0.65,0.55,30662.0,254020.0,0.538999,1.066783,24.504996,6.560735,level_walking,level walking,
2026-5-14_levelground 2_left.csv,12,880,892,44.0,44.6,0.65,0.5,26824.0,223660.0,0.605966,0.901655,25.359626,5.081257,level_walking,level walking,
2026-5-14_levelground 2_left.csv,13,903,913,45.15,45.65,0.55,0.55,27292.0,175420.0,0.568943,0.725008,20.430714,5.050957,level_walking,level walking,
2026-5-14_levelground 2_left.csv,14,924,931,46.2,46.55,0.4,0.55,27609.0,101320.0,0.06702,0.094234,2.784224,0.459499,level_walking,level walking,
2026-5-14_levelground 2_left.csv,15,945,955,47.25,47.75,0.55,0.7,30230.0,151260.0,0.451899,0.687168,10.473503,1.914084,level_walking,level walking,
2026-5-14_levelground 2_left.csv,16,966,978,48.3,48.9,0.65,0.55,16735.0,91240.0,0.37429,0.317858,6.997735,1.689728,level_walking,level walking,
