source_file,cycle_index,start_sample_index,end_sample_index,start_time_s,end_time_s,stance_duration_s,swing_duration_s,peak_total_g,loading_rate_g_s,cop_ap_excursion_norm,cop_ml_excursion_norm,peak_tau_proxy_pf_nm,tau_proxy_impulse_nm_s,activity_hint,activity_pred,quality_flags
2026-5-14_noexo.csv,0,2,1465,0.1,73.25,73.2,0.0,10901.0,7040.0,0.072834,0.153778,0.0,0.0,noexo_control,unknown_transition,
2026-5-14_noexo.csv,1,1532,1552,76.6,77.6,1.05,3.35,20032.0,100180.0,0.069796,0.084476,0.0,0.0,noexo_control,unknown_transition,
2026-5-14_noexo.csv,2,1562,1574,78.1,78.7,0.65,0.5,30006.0,67320.0,0.506424,0.745903,20.608519,6.442433,noexo_control,unknown_transition,
2026-5-14_noexo.csv,3,1586,1595,79.3,79.75,0.5,0.6,25221.0,154580.0,0.392395,0.842432,26.85352,7.715489,noexo_control,unknown_transition,
2026-5-14_noexo.csv,4,1607,1618,80.35,80.9,0.6,0.6,29847.0,103600.0,0.512241,0.933888,26.166908,8.325129,noexo_control,unknown_transition,
2026-5-14_noexo.csv,5,1630,1641,81.5,82.05,0.6,0.6,31792.0,130800.0,0.524808,1.101,24.829896,6.217348,noexo_control,unknown_transition,
2026-5-14_noexo.csv,6,1651,1662,82.55,83.1,0.6,0.5,26023.0,110920.0,0.220963,0.454822,4.308241,0.943471,noexo_control,unknown_transition,
2026-5-14_noexo.csv,7,1678,1692,83.9,84.6,0.75,0.8,26837.0,51580.0,0.534476,0.934927,21.430857,3.66858,noexo_control,unknown_transition,
2026-5-14_noexo.csv,8,1702,1713,85.1,85.65,0.6,0.5,28938.0,129080.0,0.472933,0.416667,21.334523,6.572498,noexo_control,unknown_transition,
2026-5-14_noexo.csv,9,1724,1735,86.2,86.75,0.6,0.55,29697.0,97500.0,0.499976,0.642956,29.155079,7.50696,noexo_control,unknown_transition,
2026-5-14_noexo.csv,10,1747,1759,87.35,87.95,0.65,0.6,26578.0,164840.0,0.441506,0.843285,26.906098,9.54937,noexo_control,unknown_transition,
2026-5-14_noexo.csv,11,1769,1781,88.45,89.05,0.65,0.5,30415.0,107580.0,0.542723,1.105682,26.564809,6.528167,noexo_control,unknown_transition,
2026-5-14_noexo.csv,12,1791,1801,89.55,90.05,0.55,0.5,31606.0,116700.0,0.461094,0.303684,23.962444,6.559924,noexo_control,unknown_transition,
2026-5-14_noexo.csv,13,1813,1824,90.65,91.2,0.6,0.6,31071.0,306520.0,0.589147,0.660814,22.941991,7.326148,noexo_control,unknown_transition,
2026-5-14_noexo.csv,14,1836,1847,91.8,92.35,0.6,0.6,20533.0,70920.0,0.432377,0.990448,14.774529,3.887502,noexo_control,unknown_transition,
2026-5-14_noexo.csv,15,1874,1881,93.7,94.05,0.4,1.35,27533.0,175960.0,0.030387,0.055437,0.0,0.0,noexo_control,unknown_transition,
2026-5-14_noexo.csv,16,1887,1899,94.35,94.95,0.65,0.3,29937.0,166920.0,0.536509,0.852209,27.955008,7.289163,noexo_control,unknown_transition,
2026-5-14_noexo.csv,17,1908,1921,95.4,96.05,0.7,0.45,32590.0,271520.0,0.582185,1.084569,26.384687,5.847871,noexo_control,unknown_transition,
2026-5-14_noexo.csv,18,1932,1943,96.6,97.15,0.6,0.55,31543.0,99880.0,0.472783,0.824263,26.435122,7.97802,noexo_control,unknown_transition,
2026-5-14_noexo.csv,19,1952,1964,97.6,98.2,0.65,0.45,32664.0,169660.0,0.563472,0.869301,22.658725,4.882299,noexo_control,unknown_transition,
2026-5-14_noexo.csv,20,1975,1985,98.75,99.25,0.55,0.55,31492.0,110140.0,0.506644,0.526587,24.029483,6.517188,noexo_control,unknown_transition,
2026-5-14_noexo.csv,21,1998,2008,99.9,100.4,0.55,0.65,31655.0,99580.0,0.508142,0.870637,26.085964,6.735685,noexo_control,unknown_transition,
2026-5-14_noexo.csv,22,2019,2029,100.95,101.45,0.55,0.55,25160.0,68180.0,0.468053,0.317753,14.615622,3.054885,noexo_control,unknown_transition,
2026-5-14_noexo.csv,23,2041,2056,102.05,102.8,0.8,0.6,28124.0,69480.0,0.169642,0.247305,2.868935,0.955874,noexo_control,unknown_transition,
2026-5-14_noexo.csv,24,2070,2080,103.5,104.0,0.55,0.7,32062.0,233840.0,0.493703,0.823571,24.117958,4.974653,noexo_control,unknown_transition,
2026-5-14_noexo.csv,25,2093,2105,104.65,105.25,0.65,0.65,28606.0,162700.0,0.551529,0.972387,21.070984,4.852856,noexo_control,unknown_transition,
2026-5-14_noexo.csv,26,2115,2125,105.75,106.25,0.55,0.5,31825.0,50640.0,0.538662,0.881657,18.842502,4.217738,noexo_control,unknown_transition,
2026-5-14_noexo.csv,27,2136,2148,106.8,107.4,0.65,0.55,26505.0,88580.0,0.563293,1.161472,22.781955,5.229374,noexo_control,unknown_transition,
2026-5-14_noexo.csv,28,2157,2167,107.85,108.35,0.55,0.45,28922.0,167760.0,0.429399,0.146201,14.802,3.594088,noexo_control,unknown_transition,
2026-5-14_noexo.csv,29,2181,2198,109.05,109.9,0.9,0.7,25490.0,132260.0,0.189794,0.140895,2.266343,0.511975,noexo_control,unknown_transition,
