source_file,cycle_index,start_sample_index,end_sample_index,start_time_s,end_time_s,stance_duration_s,swing_duration_s,peak_total_g,loading_rate_g_s,cop_ap_excursion_norm,cop_ml_excursion_norm,peak_tau_proxy_pf_nm,tau_proxy_impulse_nm_s,activity_hint,activity_pred,quality_flags
2026-5-14_sit to stand_left.csv,0,465,484,23.25,24.2,1.0,0.0,23332.0,17520.0,0.170537,0.333098,1.934193,0.384004,sittostand,sittostand,
2026-5-14_sit to stand_left.csv,1,497,516,24.85,25.8,1.0,0.65,27903.0,150840.0,0.577311,1.084709,32.151752,14.508837,sittostand,sittostand,
2026-5-14_sit to stand_left.csv,2,528,541,26.4,27.05,0.7,0.6,23568.0,77980.0,0.181651,0.110029,6.310536,2.899244,sittostand,sittostand,
2026-5-14_sit to stand_left.csv,3,553,563,27.65,28.15,0.55,0.6,24482.0,66280.0,0.051896,0.054736,2.375025,0.435398,sittostand,sittostand,
2026-5-14_sit to stand_left.csv,4,576,588,28.8,29.4,0.65,0.65,30598.0,45360.0,0.102108,0.085331,0.0,0.0,sittostand,sittostand,
2026-5-14_sit to stand_left.csv,5,599,610,29.95,30.5,0.6,0.55,26743.0,21760.0,0.172245,0.091632,2.291306,0.299006,sittostand,sittostand,
2026-5-14_sit to stand_left.csv,6,621,634,31.05,31.7,0.7,0.55,27712.0,38620.0,0.294472,0.090343,4.202342,0.93924,sittostand,sittostand,
2026-5-14_sit to stand_left.csv,7,644,655,32.2,32.75,0.6,0.5,26279.0,27120.0,0.121272,0.110431,0.120801,0.01208,sittostand,sittostand,
2026-5-14_sit to stand_left.csv,8,664,679,33.2,33.95,0.8,0.45,29913.0,145920.0,0.292464,0.132715,7.297699,1.734052,sittostand,sittostand,
2026-5-14_sit to stand_left.csv,9,687,704,34.35,35.2,0.9,0.4,27594.0,47220.0,0.160571,0.187335,2.293941,0.985094,sittostand,sittostand,
2026-5-14_sit to stand_left.csv,10,708,722,35.4,36.1,0.75,0.2,25574.0,157120.0,0.511839,1.205288,13.879931,6.234773,sittostand,sittostand,
2026-5-14_sit to stand_left.csv,11,734,746,36.7,37.3,0.65,0.6,26097.0,142480.0,0.592044,1.109471,14.538066,3.234158,sittostand,sittostand,
2026-5-14_sit to stand_left.csv,12,757,770,37.85,38.5,0.7,0.55,25057.0,51460.0,0.28202,0.068464,9.204968,3.187809,sittostand,sittostand,
2026-5-14_sit to stand_left.csv,13,1515,1534,75.75,76.7,1.0,37.25,22417.0,48220.0,0.239365,0.376765,5.269614,2.970677,sittostand,sittostand,
2026-5-14_sit to stand_left.csv,14,1552,1570,77.6,78.5,0.95,0.9,29549.0,132780.0,0.548981,0.600648,16.717183,8.074684,sittostand,sittostand,
2026-5-14_sit to stand_left.csv,15,1583,1599,79.15,79.95,0.85,0.65,25994.0,94860.0,0.604287,1.068621,17.571111,5.324843,sittostand,sittostand,
2026-5-14_sit to stand_left.csv,16,1610,1622,80.5,81.1,0.65,0.55,24730.0,68420.0,0.533238,0.914843,18.477988,5.452884,sittostand,sittostand,
2026-5-14_sit to stand_left.csv,17,1633,1648,81.65,82.4,0.8,0.55,27741.0,63000.0,0.087863,0.210653,0.0,0.0,sittostand,sittostand,
2026-5-14_sit to stand_left.csv,18,1662,1675,83.1,83.75,0.7,0.7,28630.0,120680.0,0.473262,0.738206,21.270336,6.505702,sittostand,sittostand,
2026-5-14_sit to stand_left.csv,19,1686,1699,84.3,84.95,0.7,0.55,22307.0,146200.0,0.459278,0.116008,16.628725,5.427909,sittostand,sittostand,
2026-5-14_sit to stand_left.csv,20,1714,1726,85.7,86.3,0.65,0.75,23226.0,184180.0,0.264899,0.242239,5.321824,2.289196,sittostand,sittostand,
2026-5-14_sit to stand_left.csv,21,1741,1753,87.05,87.65,0.65,0.75,24888.0,145860.0,0.344287,0.638047,4.950291,2.001072,sittostand,sittostand,
2026-5-14_sit to stand_left.csv,22,1767,1781,88.35,89.05,0.75,0.7,30727.0,127000.0,0.108983,0.107442,5.58268,2.171578,sittostand,sittostand,
2026-5-14_sit to stand_left.csv,23,1796,1810,89.8,90.5,0.75,0.75,24506.0,4860.0,0.513168,1.038199,11.02878,3.459828,sittostand,sittostand,
2026-5-14_sit to stand_left.csv,24,1822,1838,91.1,91.9,0.85,0.6,28814.0,217680.0,0.343061,0.346231,11.826306,5.442224,sittostand,sittostand,
2026-5-14_sit to stand_left.csv,25,1850,1866,92.5,93.3,0.85,0.6,28173.0,321140.0,0.296164,0.150465,12.640002,5.121263,sittostand,sittostand,
2026-5-14_sit to stand_left.csv,26,1880,1890,94.0,94.5,0.55,0.7,23910.0,104800.0,0.216863,0.073468,8.936989,2.54163,sittostand,sittostand,
2026-5-14_sit to stand_left.csv,27,1906,1918,95.3,95.9,0.65,0.8,26781.0,83840.0,0.258788,0.071472,6.189324,2.050541,sittostand,sittostand,
2026-5-14_sit to stand_left.csv,28,1931,1945,96.55,97.25,0.75,0.65,28765.0,222980.0,0.110098,0.073419,0.0,0.0,sittostand,sittostand,
2026-5-14_sit to stand_left.csv,29,1956,1971,97.8,98.55,0.8,0.55,33359.0,11800.0,0.47573,0.282655,20.222527,5.636853,sittostand,sittostand,
2026-5-14_sit to stand_left.csv,30,1980,1994,99.0,99.7,0.75,0.45,24537.0,59060.0,0.398257,0.73938,12.621377,4.576271,sittostand,sittostand,
2026-5-14_sit to stand_left.csv,31,2004,2077,100.2,103.85,3.7,0.5,22972.0,242900.0,0.104001,0.147545,0.0,0.0,sittostand,sittostand,
2026-5-14_sit to stand_left.csv,32,2087,2107,104.35,105.35,1.05,0.5,19209.0,221860.0,0.098049,0.100889,0.0,0.0,sittostand,sittostand,
2026-5-14_sit to stand_left.csv,33,2145,2199,107.25,109.95,2.75,1.9,19015.0,96680.0,0.249531,0.138436,3.477542,1.918943,sittostand,sittostand,
2026-5-14_sit to stand_left.csv,34,2228,2287,111.4,114.35,3.0,1.45,23040.0,28840.0,0.11303,0.141038,0.0,0.0,sittostand,sittostand,
