source_file,cycle_index,start_sample_index,end_sample_index,start_time_s,end_time_s,stance_duration_s,swing_duration_s,peak_total_g,loading_rate_g_s,cop_ap_excursion_norm,cop_ml_excursion_norm,peak_tau_proxy_pf_nm,tau_proxy_impulse_nm_s,activity_hint,activity_pred,quality_flags
2026-5-14_stair1_left.csv,0,2,1580,0.1,79.0,78.95,0.0,4842.0,0.0,0.0,0.0,0.0,0.0,stair1,ambiguous_stair,
2026-5-14_stair1_left.csv,1,1728,1752,86.4,87.6,1.25,7.4,28362.0,208040.0,0.198323,0.136529,3.622915,1.415448,stair1,ambiguous_stair,
2026-5-14_stair1_left.csv,2,1765,1779,88.25,88.95,0.75,0.65,33266.0,144400.0,0.446875,0.247831,19.004318,4.154317,stair1,ambiguous_stair,
2026-5-14_stair1_left.csv,3,1788,1800,89.4,90.0,0.65,0.45,34663.0,204260.0,0.324879,0.126541,22.218902,5.928288,stair1,ambiguous_stair,
2026-5-14_stair1_left.csv,4,1812,1823,90.6,91.15,0.6,0.6,28983.0,239180.0,0.323538,0.623997,20.757495,5.970082,stair1,ambiguous_stair,
2026-5-14_stair1_left.csv,5,1834,1847,91.7,92.35,0.7,0.55,25554.0,222260.0,0.413081,0.612286,20.564123,5.307973,stair1,ambiguous_stair,
2026-5-14_stair1_left.csv,6,1858,1868,92.9,93.4,0.55,0.55,24886.0,130700.0,0.346524,0.233796,16.970546,4.493031,stair1,ambiguous_stair,
2026-5-14_stair1_left.csv,7,1881,1891,94.05,94.55,0.55,0.65,31544.0,205040.0,0.352563,0.432815,19.314474,5.280246,stair1,ambiguous_stair,
2026-5-14_stair1_left.csv,8,1904,1917,95.2,95.85,0.7,0.65,29811.0,139500.0,0.433695,0.464274,22.265019,5.929128,stair1,ambiguous_stair,
2026-5-14_stair1_left.csv,9,1932,1945,96.6,97.25,0.7,0.75,21285.0,50300.0,0.381698,0.166852,14.241942,5.696777,stair1,ambiguous_stair,
2026-5-14_stair1_left.csv,10,1956,1961,97.8,98.05,0.3,0.55,20618.0,0.0,0.0,0.0,1.18304,0.354912,stair1,ambiguous_stair,
2026-5-14_stair1_left.csv,11,1974,1986,98.7,99.3,0.65,0.65,21764.0,217480.0,0.387063,0.659773,8.36646,2.161803,stair1,ambiguous_stair,
2026-5-14_stair1_left.csv,12,2013,2024,100.65,101.2,0.6,1.35,26346.0,38800.0,0.141721,0.169304,1.224572,0.565914,stair1,ambiguous_stair,
2026-5-14_stair1_left.csv,13,2038,2078,101.9,103.9,2.05,0.7,30397.0,251740.0,0.551348,1.187104,22.10881,30.428721,stair1,ambiguous_stair,
2026-5-14_stair1_left.csv,14,2086,2098,104.3,104.9,0.65,0.4,26045.0,167280.0,0.39746,0.544278,12.418127,3.111755,stair1,ambiguous_stair,
2026-5-14_stair1_left.csv,15,2108,2117,105.4,105.85,0.5,0.5,33030.0,66700.0,0.470477,0.345568,20.625768,4.378076,stair1,ambiguous_stair,
2026-5-14_stair1_left.csv,16,2127,2136,106.35,106.8,0.5,0.5,25441.0,10660.0,0.363269,0.929032,12.053886,5.139412,stair1,ambiguous_stair,
2026-5-14_stair1_left.csv,17,2146,2156,107.3,107.8,0.55,0.5,24929.0,52600.0,0.377536,0.468804,17.026329,5.496072,stair1,ambiguous_stair,
2026-5-14_stair1_left.csv,18,2165,2175,108.25,108.75,0.55,0.45,34080.0,37580.0,0.332594,0.250014,14.490042,3.498938,stair1,ambiguous_stair,
2026-5-14_stair1_left.csv,19,2184,2193,109.2,109.65,0.5,0.45,31013.0,76920.0,0.17101,0.453664,17.070682,5.440687,stair1,ambiguous_stair,
2026-5-14_stair1_left.csv,20,2203,2209,110.15,110.45,0.35,0.5,33146.0,127700.0,0.069068,0.22641,26.913023,6.086226,stair1,ambiguous_stair,
2026-5-14_stair1_left.csv,21,2221,2240,111.05,112.0,1.0,0.6,23702.0,84840.0,0.370852,0.727366,11.341869,5.950695,stair1,ambiguous_stair,
2026-5-14_stair1_left.csv,22,2246,2672,112.3,133.6,21.35,0.3,3294.0,8520.0,0.018344,0.242333,3.614543,55.905381,stair1,ambiguous_stair,
