sample_index,timestamp,time_s,source_file,activity_hint,L1_g,L2_g,L3_g,L4_g,L5_g,L6_g,L7_g,L8_g,L9_g,L10_g,L11_g,L12_g,L13_g,L14_g,L15_g,L16_g,L17_g,L18_g,total_g,p_fore_g,p_arch_g,p_heel_g,p_medial_g,p_lateral_g,cop_x_mm,cop_y_mm,cop_ap_norm,cop_ml_norm,cop_ap_dot_norm_s,cop_ml_dot_norm_s,gait_state,stance_phase,tau_proxy_pf_nm,tau_proxy_pf_nm_clipped,activity_pred,quality_flags
0,2026-05-14 22:58:51,0.000000,2026-5-14_levelground 2_left.csv,level_walking,0.000000,0.000000,2847.000000,621.000000,0.000000,0.000000,0.000000,0.000000,1386.000000,369.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5223.000000,3468.000000,1755.000000,0.000000,5223.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Swing,0.000000,0.000000,0.000000,level walking,cop_invalid
1,2026-05-14 22:58:51,0.050000,2026-5-14_levelground 2_left.csv,level_walking,0.000000,0.000000,2847.000000,621.000000,0.000000,0.000000,0.000000,0.000000,1386.000000,369.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5223.000000,3468.000000,1755.000000,0.000000,5223.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Swing,0.000000,0.000000,0.000000,level walking,cop_invalid
2,2026-05-14 22:58:51,0.100000,2026-5-14_levelground 2_left.csv,level_walking,0.000000,0.000000,2847.000000,621.000000,0.000000,0.000000,0.000000,0.000000,1386.000000,369.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5223.000000,3468.000000,1755.000000,0.000000,5223.000000,0.000000,48.606565,56.431373,0.091645,-0.221117,0.000000,0.000000,InitialContact,0.000000,0.000000,0.000000,level walking,
3,2026-05-14 22:58:51,0.150000,2026-5-14_levelground 2_left.csv,level_walking,0.000000,0.000000,2847.000000,621.000000,0.000000,0.000000,0.000000,0.000000,1386.000000,369.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5223.000000,3468.000000,1755.000000,0.000000,5223.000000,0.000000,48.606565,56.431373,0.091645,-0.221117,0.000000,0.000000,InitialContact,0.076923,0.000000,0.000000,level walking,
4,2026-05-14 22:58:51,0.200000,2026-5-14_levelground 2_left.csv,level_walking,0.000000,0.000000,2847.000000,621.000000,0.000000,0.000000,0.000000,0.000000,1386.000000,369.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5223.000000,3468.000000,1755.000000,0.000000,5223.000000,0.000000,48.606565,56.431373,0.091645,-0.221117,0.000000,0.000000,LoadingResponse,0.153846,0.000000,0.000000,level walking,
5,2026-05-14 22:58:51,0.250000,2026-5-14_levelground 2_left.csv,level_walking,0.000000,0.000000,2847.000000,621.000000,0.000000,0.000000,0.000000,0.000000,1386.000000,369.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5223.000000,3468.000000,1755.000000,0.000000,5223.000000,0.000000,48.606565,56.431373,0.091645,-0.221117,0.000000,0.000000,LoadingResponse,0.230769,0.000000,0.000000,level walking,
6,2026-05-14 22:58:51,0.300000,2026-5-14_levelground 2_left.csv,level_walking,0.000000,0.000000,2847.000000,621.000000,0.000000,0.000000,0.000000,0.000000,1386.000000,369.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5223.000000,3468.000000,1755.000000,0.000000,5223.000000,0.000000,48.606565,56.431373,0.091645,-0.221117,0.000000,0.000000,LoadingResponse,0.307692,0.000000,0.000000,level walking,
7,2026-05-14 22:58:51,0.350000,2026-5-14_levelground 2_left.csv,level_walking,0.000000,0.000000,2847.000000,621.000000,0.000000,0.000000,0.000000,0.000000,1386.000000,369.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5223.000000,3468.000000,1755.000000,0.000000,5223.000000,0.000000,48.606565,56.431373,0.091645,-0.221117,0.000000,0.000000,LoadingResponse,0.384615,0.000000,0.000000,level walking,
8,2026-05-14 22:58:51,0.400000,2026-5-14_levelground 2_left.csv,level_walking,0.000000,0.000000,2847.000000,621.000000,0.000000,0.000000,0.000000,0.000000,1386.000000,369.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5223.000000,3468.000000,1755.000000,0.000000,5223.000000,0.000000,48.606565,56.431373,0.091645,-0.221117,0.000000,0.000000,LoadingResponse,0.461538,0.000000,0.000000,level walking,
9,2026-05-14 22:58:51,0.450000,2026-5-14_levelground 2_left.csv,level_walking,0.000000,0.000000,2847.000000,621.000000,0.000000,0.000000,0.000000,0.000000,1386.000000,369.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5223.000000,3468.000000,1755.000000,0.000000,5223.000000,0.000000,48.606565,56.431373,0.091645,-0.221117,0.000000,0.000000,LoadingResponse,0.538462,0.000000,0.000000,level walking,
10,2026-05-14 22:58:51,0.500000,2026-5-14_levelground 2_left.csv,level_walking,0.000000,0.000000,2847.000000,621.000000,0.000000,0.000000,0.000000,0.000000,1386.000000,369.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5223.000000,3468.000000,1755.000000,0.000000,5223.000000,0.000000,48.606565,56.431373,0.091645,-0.221117,0.000000,0.000000,LoadingResponse,0.615385,0.000000,0.000000,level walking,
11,2026-05-14 22:58:51,0.550000,2026-5-14_levelground 2_left.csv,level_walking,0.000000,0.000000,2847.000000,621.000000,0.000000,0.000000,0.000000,0.000000,1386.000000,369.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5223.000000,3468.000000,1755.000000,0.000000,5223.000000,0.000000,48.606565,56.431373,0.091645,-0.221117,0.000000,0.000000,LoadingResponse,0.692308,0.000000,0.000000,level walking,
