sample_index,timestamp,time_s,source_file,activity_hint,L1_g,L2_g,L3_g,L4_g,L5_g,L6_g,L7_g,L8_g,L9_g,L10_g,L11_g,L12_g,L13_g,L14_g,L15_g,L16_g,L17_g,L18_g,total_g,p_fore_g,p_arch_g,p_heel_g,p_medial_g,p_lateral_g,cop_x_mm,cop_y_mm,cop_ap_norm,cop_ml_norm,cop_ap_dot_norm_s,cop_ml_dot_norm_s,gait_state,stance_phase,tau_proxy_pf_nm,tau_proxy_pf_nm_clipped,activity_pred,quality_flags
0,2026-05-14 23:09:25,0.000000,2026-5-14_noexo.csv,noexo_control,0.000000,0.000000,3415.000000,1463.000000,0.000000,0.000000,0.000000,0.000000,3078.000000,1450.000000,0.000000,0.000000,0.000000,0.000000,496.000000,364.000000,0.000000,0.000000,10266.000000,4878.000000,4528.000000,860.000000,10266.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Swing,0.000000,0.000000,0.000000,unknown_transition,cop_invalid
1,2026-05-14 23:09:26,0.050000,2026-5-14_noexo.csv,noexo_control,0.000000,0.000000,3415.000000,1463.000000,0.000000,0.000000,0.000000,0.000000,3078.000000,1450.000000,0.000000,0.000000,0.000000,0.000000,496.000000,364.000000,0.000000,0.000000,10266.000000,4878.000000,4528.000000,860.000000,10266.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Swing,0.000000,0.000000,0.000000,unknown_transition,cop_invalid
2,2026-05-14 23:09:26,0.100000,2026-5-14_noexo.csv,noexo_control,0.000000,0.000000,3415.000000,1463.000000,0.000000,0.000000,0.000000,0.000000,3078.000000,1450.000000,0.000000,0.000000,0.000000,0.000000,496.000000,364.000000,0.000000,0.000000,10266.000000,4878.000000,4528.000000,860.000000,10266.000000,0.000000,53.491853,66.744754,0.139499,-0.343848,0.000000,0.000000,InitialContact,0.000000,0.000000,0.000000,unknown_transition,
3,2026-05-14 23:09:26,0.150000,2026-5-14_noexo.csv,noexo_control,0.000000,0.000000,3415.000000,1463.000000,0.000000,0.000000,0.000000,0.000000,3078.000000,1450.000000,0.000000,0.000000,0.000000,0.000000,496.000000,364.000000,0.000000,0.000000,10266.000000,4878.000000,4528.000000,860.000000,10266.000000,0.000000,53.491853,66.744754,0.139499,-0.343848,0.000000,0.000000,InitialContact,0.076923,0.000000,0.000000,unknown_transition,
4,2026-05-14 23:09:26,0.200000,2026-5-14_noexo.csv,noexo_control,0.000000,0.000000,3415.000000,1463.000000,0.000000,0.000000,0.000000,0.000000,3078.000000,1450.000000,0.000000,0.000000,0.000000,0.000000,496.000000,364.000000,0.000000,0.000000,10266.000000,4878.000000,4528.000000,860.000000,10266.000000,0.000000,53.491853,66.744754,0.139499,-0.343848,0.000000,0.000000,LoadingResponse,0.153846,0.000000,0.000000,unknown_transition,
5,2026-05-14 23:09:26,0.250000,2026-5-14_noexo.csv,noexo_control,0.000000,0.000000,3415.000000,1463.000000,0.000000,0.000000,0.000000,0.000000,3078.000000,1450.000000,0.000000,0.000000,0.000000,0.000000,496.000000,364.000000,0.000000,0.000000,10266.000000,4878.000000,4528.000000,860.000000,10266.000000,0.000000,53.491853,66.744754,0.139499,-0.343848,0.000000,0.000000,LoadingResponse,0.230769,0.000000,0.000000,unknown_transition,
6,2026-05-14 23:09:26,0.300000,2026-5-14_noexo.csv,noexo_control,0.000000,0.000000,3415.000000,1463.000000,0.000000,0.000000,0.000000,0.000000,3078.000000,1450.000000,0.000000,0.000000,0.000000,0.000000,496.000000,364.000000,0.000000,0.000000,10266.000000,4878.000000,4528.000000,860.000000,10266.000000,0.000000,53.491853,66.744754,0.139499,-0.343848,0.000000,0.000000,LoadingResponse,0.307692,0.000000,0.000000,unknown_transition,
7,2026-05-14 23:09:26,0.350000,2026-5-14_noexo.csv,noexo_control,0.000000,0.000000,3415.000000,1463.000000,0.000000,0.000000,0.000000,0.000000,3078.000000,1450.000000,0.000000,0.000000,0.000000,0.000000,496.000000,364.000000,0.000000,0.000000,10266.000000,4878.000000,4528.000000,860.000000,10266.000000,0.000000,53.491853,66.744754,0.139499,-0.343848,0.000000,0.000000,LoadingResponse,0.384615,0.000000,0.000000,unknown_transition,
8,2026-05-14 23:09:26,0.400000,2026-5-14_noexo.csv,noexo_control,0.000000,0.000000,3415.000000,1463.000000,0.000000,0.000000,0.000000,0.000000,3078.000000,1450.000000,0.000000,0.000000,0.000000,0.000000,496.000000,364.000000,0.000000,0.000000,10266.000000,4878.000000,4528.000000,860.000000,10266.000000,0.000000,53.491853,66.744754,0.139499,-0.343848,0.000000,0.000000,LoadingResponse,0.461538,0.000000,0.000000,unknown_transition,
9,2026-05-14 23:09:26,0.450000,2026-5-14_noexo.csv,noexo_control,0.000000,0.000000,3415.000000,1463.000000,0.000000,0.000000,0.000000,0.000000,3078.000000,1450.000000,0.000000,0.000000,0.000000,0.000000,496.000000,364.000000,0.000000,0.000000,10266.000000,4878.000000,4528.000000,860.000000,10266.000000,0.000000,53.491853,66.744754,0.139499,-0.343848,0.000000,0.000000,LoadingResponse,0.538462,0.000000,0.000000,unknown_transition,
