sample_index,timestamp,time_s,source_file,activity_hint,L1_g,L2_g,L3_g,L4_g,L5_g,L6_g,L7_g,L8_g,L9_g,L10_g,L11_g,L12_g,L13_g,L14_g,L15_g,L16_g,L17_g,L18_g,total_g,p_fore_g,p_arch_g,p_heel_g,p_medial_g,p_lateral_g,cop_x_mm,cop_y_mm,cop_ap_norm,cop_ml_norm,cop_ap_dot_norm_s,cop_ml_dot_norm_s,gait_state,stance_phase,tau_proxy_pf_nm,tau_proxy_pf_nm_clipped,activity_pred,quality_flags
0,2026-05-14 23:08:06,0.000000,2026-5-14_stair2_left.csv,stair2,1201.000000,0.000000,0.000000,0.000000,0.000000,0.000000,598.000000,0.000000,0.000000,0.000000,0.000000,0.000000,527.000000,0.000000,0.000000,97.000000,0.000000,0.000000,2423.000000,1201.000000,598.000000,624.000000,624.000000,1799.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Swing,0.000000,0.000000,0.000000,ambiguous_stair,cop_invalid
1,2026-05-14 23:08:07,0.050000,2026-5-14_stair2_left.csv,stair2,1201.000000,0.000000,0.000000,0.000000,0.000000,0.000000,598.000000,0.000000,0.000000,0.000000,0.000000,0.000000,527.000000,0.000000,0.000000,97.000000,0.000000,0.000000,2423.000000,1201.000000,598.000000,624.000000,624.000000,1799.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Swing,0.000000,0.000000,0.000000,ambiguous_stair,cop_invalid
2,2026-05-14 23:08:07,0.100000,2026-5-14_stair2_left.csv,stair2,1201.000000,0.000000,0.000000,0.000000,0.000000,0.000000,598.000000,0.000000,0.000000,0.000000,0.000000,0.000000,527.000000,0.000000,0.000000,97.000000,0.000000,0.000000,2423.000000,1201.000000,598.000000,624.000000,624.000000,1799.000000,27.293772,186.755658,0.696342,0.314313,0.000000,0.000000,TerminalStance,0.000000,2.587424,1.500000,ambiguous_stair,
3,2026-05-14 23:08:07,0.150000,2026-5-14_stair2_left.csv,stair2,1201.000000,0.000000,0.000000,0.000000,0.000000,0.000000,598.000000,0.000000,0.000000,0.000000,0.000000,0.000000,527.000000,0.000000,0.000000,97.000000,0.000000,0.000000,2423.000000,1201.000000,598.000000,624.000000,624.000000,1799.000000,27.293772,186.755658,0.696342,0.314313,0.000000,0.000000,TerminalStance,0.076923,2.587424,1.500000,ambiguous_stair,
4,2026-05-14 23:08:07,0.200000,2026-5-14_stair2_left.csv,stair2,1201.000000,0.000000,0.000000,0.000000,0.000000,0.000000,598.000000,0.000000,0.000000,0.000000,0.000000,0.000000,527.000000,0.000000,0.000000,97.000000,0.000000,0.000000,2423.000000,1201.000000,598.000000,624.000000,624.000000,1799.000000,27.293772,186.755658,0.696342,0.314313,0.000000,0.000000,TerminalStance,0.153846,2.587424,1.500000,ambiguous_stair,
5,2026-05-14 23:08:07,0.250000,2026-5-14_stair2_left.csv,stair2,1201.000000,0.000000,0.000000,0.000000,0.000000,0.000000,598.000000,0.000000,0.000000,0.000000,0.000000,0.000000,527.000000,0.000000,0.000000,97.000000,0.000000,0.000000,2423.000000,1201.000000,598.000000,624.000000,624.000000,1799.000000,27.293772,186.755658,0.696342,0.314313,0.000000,0.000000,TerminalStance,0.230769,2.587424,1.500000,ambiguous_stair,
6,2026-05-14 23:08:07,0.300000,2026-5-14_stair2_left.csv,stair2,1201.000000,0.000000,0.000000,0.000000,0.000000,0.000000,598.000000,0.000000,0.000000,0.000000,0.000000,0.000000,527.000000,0.000000,0.000000,97.000000,0.000000,0.000000,2423.000000,1201.000000,598.000000,624.000000,624.000000,1799.000000,27.293772,186.755658,0.696342,0.314313,0.000000,0.000000,TerminalStance,0.307692,2.587424,1.500000,ambiguous_stair,
7,2026-05-14 23:08:07,0.350000,2026-5-14_stair2_left.csv,stair2,1201.000000,0.000000,0.000000,0.000000,0.000000,0.000000,598.000000,0.000000,0.000000,0.000000,0.000000,0.000000,527.000000,0.000000,0.000000,97.000000,0.000000,0.000000,2423.000000,1201.000000,598.000000,624.000000,624.000000,1799.000000,27.293772,186.755658,0.696342,0.314313,0.000000,0.000000,TerminalStance,0.384615,2.587424,1.500000,ambiguous_stair,
8,2026-05-14 23:08:07,0.400000,2026-5-14_stair2_left.csv,stair2,1201.000000,0.000000,0.000000,0.000000,0.000000,0.000000,598.000000,0.000000,0.000000,0.000000,0.000000,0.000000,527.000000,0.000000,0.000000,97.000000,0.000000,0.000000,2423.000000,1201.000000,598.000000,624.000000,624.000000,1799.000000,27.293772,186.755658,0.696342,0.314313,0.000000,0.000000,TerminalStance,0.461538,2.587424,1.500000,ambiguous_stair,
9,2026-05-14 23:08:07,0.450000,2026-5-14_stair2_left.csv,stair2,1201.000000,0.000000,0.000000,0.000000,0.000000,0.000000,598.000000,0.000000,0.000000,0.000000,0.000000,0.000000,527.000000,0.000000,0.000000,97.000000,0.000000,0.000000,2423.000000,1201.000000,598.000000,624.000000,624.000000,1799.000000,27.293772,186.755658,0.696342,0.314313,0.000000,0.000000,TerminalStance,0.538462,2.587424,1.500000,ambiguous_stair,
